id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
0,W,Real Madrid,13,9,2,2,33,16,+17,29,33.0,20.0,+13.1,+1.01,"75,398",Cristiano Ronaldo-,Keylor Navas,→ Champions League via playoff win
1,,,,,,,,,,,,,,,,,,
2,F,Liverpool,13,7,4,2,41,16,+25,25,33.0,13.2,+19.7,+1.52,"49,960","Roberto Firmino,Sadio Mané... -",Loris Karius,
3,,,,,,,,,,,,,,,,,,
4,SF,Bayern Munich,12,8,2,2,26,12,+14,26,27.4,14.2,+13.2,+1.10,"70,000",Robert Lewandowski-,Sven Ulreich,
5,SF,Roma,12,6,2,4,21,19,+2,20,19.1,18.2,+0.9,+0.07,"48,587",Edin Džeko-,Alisson,
6,,,,,,,,,,,,,,,,,,
7,QF,Barcelona,10,6,3,1,17,6,+11,21,13.7,8.9,+4.8,+0.48,"73,861",Lionel Messi-,Marc-André ter Stegen,
8,QF,Manchester City,10,6,0,4,20,12,+8,18,15.7,11.0,+4.6,+0.46,"48,050","Gabriel Jesus,Raheem Sterling... -",Ederson,
9,QF,Juventus,10,5,3,2,14,12,+2,18,16.9,13.6,+3.3,+0.33,"38,541",Gonzalo Higuaín-,Gianluigi Buffon,
10,QF,Sevilla,10,3,5,2,15,15,0,14,16.1,13.9,+2.2,+0.22,"38,512",Wissam Ben Yedder-,Sergio Rico,
11,,,,,,,,,,,,,,,,,,
12,R16,Tottenham,8,5,2,1,18,8,+10,17,13.1,12.6,+0.5,+0.06,"69,454",Harry Kane-,Hugo Lloris,
13,R16,Manchester Utd,8,5,1,2,13,5,+8,16,18.0,8.2,+9.8,+1.23,"74,467",Romelu Lukaku-,David de Gea,
14,R16,Paris S-G,8,5,0,3,27,9,+18,15,17.2,9.5,+7.7,+0.96,"46,382",Edinson Cavani-,Alphonse Areola,
15,R16,Basel,8,5,0,3,13,10,+3,15,10.4,10.7,-0.3,-0.04,"34,854",Dimitri Oberlin-,Tomáš Vaclík,
16,R16,Shakhtar,8,5,0,3,11,11,0,15,9.9,13.7,-3.8,-0.48,"33,652","Facundo Ferreyra,Bernard-",Andriy Pyatov,
17,R16,Beşiktaş,8,4,2,2,12,13,-1,14,8.6,15.1,-6.5,-0.81,"37,448","Talisca,Cenk Tosun-",Fabricio,
18,R16,Chelsea,8,3,3,2,17,12,+5,12,15.5,7.7,+7.8,+0.97,"40,218","Eden Hazard,Willian-",Thibaut Courtois,
19,R16,Porto,8,3,2,3,15,15,0,11,10.9,11.2,-0.3,-0.04,"43,568",Vincent Aboubakar-,José Sá,
20,,,,,,,,,,,,,,,,,,
21,GR,CSKA Moscow,6,3,0,3,8,10,-2,9,5.7,12.9,-7.2,-1.20,"28,259",Vitinho-,Igor Akinfeev,
22,GR,Atlético Madrid,6,1,4,1,5,4,+1,7,11.3,6.9,+4.4,+0.74,"57,596",Antoine Griezmann-,Jan Oblak,
23,GR,RB Leipzig,6,2,1,3,10,11,-1,7,9.6,7.7,+2.0,+0.33,"41,374",Timo Werner-,Péter Gulácsi,
24,GR,Sporting CP,6,2,1,3,8,9,-1,7,7.3,7.1,+0.2,+0.04,"46,515","Bas Dost,Bruno César-",Rui Patrício,
25,GR,Napoli,6,2,0,4,11,11,0,6,10.1,8.2,+1.8,+0.31,"25,878",Lorenzo Insigne-,Pepe Reina,
26,GR,Spartak Moscow,6,1,3,2,9,13,-4,6,6.8,11.4,-4.6,-0.77,"43,534","Quincy Promes,Zé Luís-",Aleksandr Selikhov,
27,GR,Feyenoord,6,1,0,5,5,14,-9,3,5.4,8.6,-3.3,-0.54,"41,167",Nicolai Jørgensen-,Brad Jones,
28,GR,Celtic,6,1,0,5,5,18,-13,3,4.7,10.5,-5.7,-0.96,"57,921","Scott Sinclair,Callum McGregor... -",Craig Gordon,
29,GR,NK Maribor,6,0,3,3,3,16,-13,3,4.1,16.1,-12.0,-1.99,"12,349","Damjan Bohar,Marcos Tavares... -",Jasmin Handanović,
30,GR,Anderlecht,6,1,0,5,2,17,-15,3,5.4,14.2,-8.8,-1.47,"19,586",Sofiane Hanni-,"Frank Boeckx,Matz Sels",
31,GR,Dortmund,6,0,2,4,7,13,-6,2,9.6,9.8,-0.2,-0.04,"65,402",Pierre-Emerick Aubameyang-,Roman Bürki,
32,GR,Monaco,6,0,2,4,6,16,-10,2,5.9,9.7,-3.8,-0.63,"9,378",Radamel Falcao-,"Danijel Subašić,Diego Benaglio",
33,GR,Qarabağ FK,6,0,2,4,2,14,-12,2,2.4,14.8,-12.4,-2.06,"60,741","Míchel,Pedro Henrique-",Ibrahim Šehić,
34,GR,APOEL FC,6,0,2,4,2,17,-15,2,3.9,16.5,-12.7,-2.11,"17,211",Mickaël Poté-,Nauzet Pérez,
35,GR,Olympiacos,6,0,1,5,4,13,-9,1,3.4,13.8,-10.3,-1.72,"30,445",Felipe Pardo-,Silvio Proto,
36,GR,Benfica,6,0,0,6,1,14,-13,0,6.2,10.4,-4.2,-0.69,"39,492",Haris Seferović-,Mile Svilar,
