id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance
0,W,Real Madrid,13.0,10.0,2.0,1.0,41.0,10.0,31.0,32.0,78.426
1,F,Atlético Madrid,13.0,7.0,5.0,1.0,26.0,10.0,16.0,26.0,43.994
2,SF,Bayern Munich,12.0,6.0,4.0,2.0,24.0,13.0,11.0,22.0,67.883
3,SF,Chelsea,12.0,4.0,5.0,3.0,19.0,10.0,9.0,17.0,39.531
4,QF,Paris S-G,10.0,6.0,2.0,2.0,25.0,9.0,16.0,20.0,44.68
5,QF,Barcelona,10.0,5.0,3.0,2.0,21.0,8.0,13.0,18.0,76.033
6,QF,Manchester Utd,10.0,5.0,3.0,2.0,17.0,9.0,8.0,18.0,74.594
7,QF,Dortmund,10.0,5.0,2.0,3.0,18.0,13.0,5.0,17.0,65.82900000000001
8,R16,Zenit,12.0,4.0,5.0,3.0,23.0,17.0,6.0,17.0,17.542
9,R16,Arsenal,10.0,5.0,2.0,3.0,14.0,8.0,6.0,17.0,59.864
10,R16,Manchester City,8.0,5.0,0.0,3.0,19.0,14.0,5.0,15.0,43.372
11,R16,Schalke 04,10.0,4.0,2.0,4.0,12.0,18.0,-6.0,14.0,53.973000000000006
12,R16,Olympiacos,8.0,4.0,1.0,3.0,12.0,11.0,1.0,13.0,30.632
13,R16,Milan,10.0,2.0,5.0,3.0,13.0,11.0,2.0,11.0,64.18600000000004
14,R16,Leverkusen,8.0,3.0,1.0,4.0,10.0,16.0,-6.0,10.0,27.867
15,R16,Galatasaray,8.0,2.0,2.0,4.0,9.0,17.0,-8.0,8.0,44.71
16,GR,Viktoria Plzeň,12.0,6.0,1.0,5.0,26.0,24.0,2.0,19.0,10.88
17,GR,Basel,10.0,4.0,4.0,2.0,15.0,11.0,4.0,16.0,33.054
18,GR,Steaua,12.0,3.0,6.0,3.0,13.0,15.0,-2.0,15.0,37.081
19,GR,Austria Wien,10.0,3.0,4.0,3.0,10.0,13.0,-3.0,13.0,40.22500000000001
20,GR,Napoli,6.0,4.0,0.0,2.0,10.0,9.0,1.0,12.0,42.980000000000004
21,GR,Celtic,12.0,3.0,3.0,6.0,12.0,16.0,-4.0,12.0,58.488
22,GR,Benfica,6.0,3.0,1.0,2.0,8.0,8.0,0.0,10.0,30.847
23,GR,Shakhtar,6.0,2.0,2.0,2.0,7.0,6.0,1.0,8.0,48.672000000000004
24,GR,Ajax,6.0,2.0,2.0,2.0,5.0,8.0,-3.0,8.0,54.866
25,GR,Juventus,6.0,1.0,3.0,2.0,9.0,9.0,0.0,6.0,36.469
26,GR,Porto,6.0,1.0,2.0,3.0,4.0,7.0,-3.0,5.0,29.969
27,GR,Real Sociedad,8.0,1.0,2.0,5.0,5.0,10.0,-5.0,5.0,28.3
28,GR,FC Copenhagen,6.0,1.0,1.0,4.0,4.0,13.0,-9.0,4.0,36.656
29,GR,CSKA Moscow,6.0,1.0,0.0,5.0,8.0,17.0,-9.0,3.0,11.333
30,GR,Anderlecht,6.0,0.0,1.0,5.0,4.0,17.0,-13.0,1.0,17.054
31,GR,Marseille,6.0,0.0,0.0,6.0,5.0,14.0,-9.0,0.0,38.2749999999999
