id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance
0,1,Real Madrid,13.0,9.0,0.0,4.0,29.0,14.0,15.0,27.0,21.6,20.1,1.5,0.11,"48,111"
1,2,Liverpool,13.0,10.0,1.0,2.0,30.0,14.0,16.0,31.0,27.3,13.1,14.2,1.09,"64,118"
2,SF,Manchester City,12.0,7.0,2.0,3.0,29.0,16.0,13.0,23.0,26.6,11.5,15.1,1.26,"49,295"
3,SF,Villarreal,12.0,5.0,3.0,4.0,20.0,16.0,4.0,18.0,19.4,18.6,0.9,0.07,"18,610"
4,QF,Bayern Munich,10.0,7.0,2.0,1.0,31.0,7.0,24.0,23.0,26.3,7.7,18.6,1.86,"34,000"
5,QF,Chelsea,10.0,7.0,1.0,2.0,21.0,10.0,11.0,22.0,19.0,11.0,8.0,0.8,"39,076"
6,QF,Benfica,10.0,3.0,4.0,3.0,14.0,17.0,-3.0,13.0,11.8,21.4,-9.7,-0.97,"47,128"
7,QF,Atlético Madrid,10.0,3.0,3.0,4.0,9.0,10.0,-1.0,12.0,12.2,13.2,-1.1,-0.11,"58,158"
8,R16,Ajax,8.0,6.0,1.0,1.0,22.0,8.0,14.0,19.0,19.0,10.0,8.9,1.12,"40,181"
9,R16,Juventus,8.0,5.0,1.0,2.0,11.0,10.0,1.0,16.0,13.3,10.6,2.7,0.34,"21,968"
10,R16,Paris S-G,8.0,4.0,2.0,2.0,15.0,11.0,4.0,14.0,14.5,13.9,0.6,0.08,"44,911"
11,R16,Inter,8.0,4.0,1.0,3.0,9.0,7.0,2.0,13.0,12.8,7.8,5.0,0.62,"41,133"
12,R16,Manchester Utd,8.0,3.0,3.0,2.0,12.0,10.0,2.0,12.0,9.4,10.6,-1.2,-0.15,"72,893"
13,R16,Lille,8.0,3.0,2.0,3.0,8.0,8.0,0.0,11.0,10.5,7.5,2.9,0.37,"37,824"
14,R16,RB Salzburg,8.0,3.0,2.0,3.0,10.0,14.0,-4.0,11.0,12.3,12.7,-0.5,-0.06,"20,812"
15,R16,Sporting CP,8.0,3.0,1.0,4.0,14.0,17.0,-3.0,10.0,12.2,12.7,-0.5,-0.07,"37,672"
16,GR,Dortmund,6.0,3.0,0.0,3.0,10.0,11.0,-1.0,9.0,11.5,7.6,3.8,0.64,"31,607"
17,GR,RB Leipzig,6.0,2.0,1.0,3.0,15.0,14.0,1.0,7.0,13.4,11.0,2.4,0.4,"21,098"
18,GR,Sheriff Tiraspol,6.0,2.0,1.0,3.0,7.0,11.0,-4.0,7.0,4.4,12.2,-7.9,-1.32,"5,689"
19,GR,Barcelona,6.0,2.0,1.0,3.0,2.0,9.0,-7.0,7.0,6.5,9.5,-3.0,-0.51,"45,092"
20,GR,Sevilla,6.0,1.0,3.0,2.0,5.0,5.0,0.0,6.0,7.2,7.8,-0.6,-0.09,"25,468"
21,GR,Atalanta,6.0,1.0,3.0,2.0,12.0,13.0,-1.0,6.0,10.2,9.1,1.1,0.18,"11,556"
22,GR,Zenit,6.0,1.0,2.0,3.0,10.0,10.0,0.0,5.0,9.8,8.0,1.9,0.31,"21,135"
23,GR,Young Boys,6.0,1.0,2.0,3.0,7.0,12.0,-5.0,5.0,7.4,10.3,-3.0,-0.5,"29,879"
24,GR,Wolfsburg,6.0,1.0,2.0,3.0,5.0,10.0,-5.0,5.0,4.8,11.1,-6.2,-1.04,"11,463"
25,GR,Porto,6.0,1.0,2.0,3.0,4.0,11.0,-7.0,5.0,8.0,8.8,-0.8,-0.13,"31,493"
26,GR,Milan,6.0,1.0,1.0,4.0,6.0,9.0,-3.0,4.0,5.8,10.2,-4.5,-0.74,"43,762"
27,GR,Club Brugge,6.0,1.0,1.0,4.0,6.0,20.0,-14.0,4.0,6.1,19.5,-13.4,-2.23,"25,511"
28,GR,Shakhtar,6.0,0.0,2.0,4.0,2.0,12.0,-10.0,2.0,6.8,10.1,-3.3,-0.55,"22,349"
29,GR,Dynamo Kyiv,6.0,0.0,1.0,5.0,1.0,11.0,-10.0,1.0,4.3,9.2,-4.9,-0.82,"27,256"
30,GR,Malmö,6.0,0.0,1.0,5.0,1.0,14.0,-13.0,1.0,1.6,15.1,-13.5,-2.25,"13,634"
31,GR,Beşiktaş,6.0,0.0,0.0,6.0,3.0,19.0,-16.0,0.0,6.2,19.7,-13.5,-2.26,"19,031"
