id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance
0,W,Real Madrid 2015-2016,13.0,9.0,3.0,1.0,28.0,6.0,22.0,30.0,72.83100000000002
1,F,Atlético Madrid 2015-2016,13.0,6.0,4.0,3.0,17.0,8.0,9.0,22.0,44.276
2,SF,Bayern Munich 2015-2016,12.0,8.0,2.0,2.0,30.0,11.0,19.0,26.0,70.00000000000001
3,SF,Manchester City 2015-2016,12.0,6.0,3.0,3.0,18.0,12.0,6.0,21.0,47.77900000000002
4,QF,Barcelona 2015-2016,10.0,7.0,2.0,1.0,22.0,8.0,14.0,23.0,74.651
5,QF,Wolfsburg 2015-2016,10.0,7.0,0.0,3.0,15.0,11.0,4.0,21.0,23.951
6,QF,Paris S-G 2015-2016,10.0,6.0,2.0,2.0,18.0,6.0,12.0,20.0,46.322
7,QF,Benfica 2015-2016,10.0,5.0,2.0,3.0,15.0,12.0,3.0,17.0,45.581
8,R16,Zenit 2015-2016,8.0,5.0,0.0,3.0,14.0,9.0,5.0,15.0,17.575
9,R16,Chelsea 2015-2016,8.0,4.0,1.0,3.0,15.0,7.0,8.0,13.0,40.153
10,R16,Dynamo Kyiv 2015-2016,8.0,3.0,3.0,2.0,9.0,7.0,2.0,12.0,41.706
11,R16,Juventus 2015-2016,8.0,3.0,3.0,2.0,10.0,9.0,1.0,12.0,39.241
12,R16,PSV Eindhoven 2015-2016,8.0,3.0,3.0,2.0,8.0,7.0,1.0,12.0,34.81
13,R16,Gent 2015-2016,8.0,3.0,1.0,4.0,10.0,11.0,-1.0,10.0,19.752
14,R16,Arsenal 2015-2016,8.0,3.0,0.0,5.0,13.0,15.0,-2.0,9.0,57.02900000000001
15,R16,Roma 2015-2016,8.0,1.0,3.0,4.0,11.0,20.0,-9.0,6.0,45.32399999999989
16,GR,BATE Borisov 2015-2016,12.0,4.0,4.0,4.0,11.0,16.0,-5.0,16.0,12.814
17,GR,FC Astana 2015-2016,12.0,3.0,6.0,3.0,14.0,17.0,-3.0,15.0,23.861
18,GR,Dinamo Zagreb 2015-2016,12.0,4.0,3.0,5.0,17.0,21.0,-4.0,15.0,17.0659999999999
19,GR,Manchester Utd 2015-2016,8.0,4.0,2.0,2.0,14.0,8.0,6.0,14.0,75.09899999999999
20,GR,Malmö 2015-2016,12.0,4.0,1.0,7.0,9.0,26.0,-17.0,13.0,20.500000000000004
21,GR,CSKA Moscow 2015-2016,10.0,3.0,2.0,5.0,14.0,16.0,-2.0,11.0,17.019000000000002
22,GR,Shakhtar 2015-2016,10.0,3.0,2.0,5.0,13.0,16.0,-3.0,11.0,30.143999999999902
23,GR,Porto 2015-2016,6.0,3.0,1.0,2.0,9.0,8.0,1.0,10.0,37.516
24,GR,Leverkusen 2015-2016,8.0,2.0,3.0,3.0,16.0,13.0,3.0,9.0,27.701
25,GR,Valencia 2015-2016,8.0,3.0,0.0,5.0,9.0,12.0,-3.0,9.0,32.902
26,GR,Olympiacos 2015-2016,6.0,3.0,0.0,3.0,6.0,13.0,-7.0,9.0,31.51599999999989
27,GR,Maccabi Tel Aviv 2015-2016,12.0,2.0,2.0,8.0,13.0,24.0,-11.0,8.0,27.622
28,GR,Sevilla 2015-2016,6.0,2.0,0.0,4.0,8.0,11.0,-3.0,6.0,37.267
29,GR,M'Gladbach 2015-2016,6.0,1.0,2.0,3.0,8.0,12.0,-4.0,5.0,45.8699999999999
30,GR,Galatasaray 2015-2016,6.0,1.0,2.0,3.0,6.0,10.0,-4.0,5.0,31.181999999999903
31,GR,Lyon 2015-2016,6.0,1.0,1.0,4.0,5.0,9.0,-4.0,4.0,31.304
