id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance
0,W,Chelsea,13.0,5.0,6.0,2.0,25.0,12.0,13.0,21.0,"40,902"
2,F,Bayern Munich,15.0,8.0,4.0,3.0,29.0,11.0,18.0,28.0,"71,500"
4,SF,Real Madrid,12.0,7.0,4.0,1.0,35.0,9.0,26.0,25.0,"67,644"
5,SF,Barcelona,12.0,6.0,5.0,1.0,35.0,10.0,25.0,23.0,"77,953"
7,QF,Benfica,14.0,4.0,7.0,3.0,21.0,14.0,7.0,19.0,"49,431"
8,QF,APOEL FC,16.0,4.0,7.0,5.0,20.0,17.0,3.0,19.0,"22,262"
9,QF,Milan,10.0,3.0,4.0,3.0,16.0,14.0,2.0,13.0,"70,491"
10,QF,Marseille,10.0,4.0,1.0,5.0,9.0,10.0,-1.0,13.0,"30,824"
12,R16,Arsenal,10.0,5.0,3.0,2.0,13.0,11.0,2.0,18.0,"59,785"
13,R16,Lyon,10.0,4.0,3.0,3.0,14.0,10.0,4.0,15.0,"35,403"
14,R16,Napoli,8.0,4.0,2.0,2.0,14.0,11.0,3.0,14.0,"54,223"
15,R16,Basel,8.0,4.0,2.0,2.0,12.0,17.0,-5.0,14.0,"34,489"
16,R16,Zenit,8.0,3.0,3.0,2.0,10.0,9.0,1.0,12.0,"20,628"
17,R16,Inter,8.0,3.0,2.0,3.0,10.0,9.0,1.0,11.0,"33,668"
18,R16,Leverkusen,8.0,3.0,1.0,4.0,10.0,18.0,-8.0,10.0,"27,555"
19,R16,CSKA Moscow,8.0,2.0,3.0,3.0,11.0,13.0,-2.0,9.0,"35,525"
21,GR,Viktoria Plzeň,12.0,4.0,5.0,3.0,22.0,16.0,6.0,17.0,"19,847"
22,GR,Dinamo Zagreb,12.0,3.0,2.0,7.0,13.0,26.0,-13.0,11.0,"23,075"
23,GR,Manchester City,6.0,3.0,1.0,2.0,9.0,6.0,3.0,10.0,"44,451"
24,GR,BATE Borisov,12.0,1.0,7.0,4.0,11.0,17.0,-6.0,10.0,"28,392"
25,GR,Manchester Utd,6.0,2.0,3.0,1.0,11.0,8.0,3.0,9.0,"74,278"
26,GR,Olympiacos,6.0,3.0,0.0,3.0,8.0,6.0,2.0,9.0,"30,165"
27,GR,Valencia,6.0,2.0,2.0,2.0,12.0,7.0,5.0,8.0,"35,308"
28,GR,Porto,6.0,2.0,2.0,2.0,7.0,7.0,0.0,8.0,"38,545"
29,GR,Ajax,6.0,2.0,2.0,2.0,6.0,6.0,0.0,8.0,"50,256"
30,GR,Trabzonspor,8.0,1.0,5.0,2.0,4.0,8.0,-4.0,8.0,"18,653"
31,GR,Genk,10.0,1.0,5.0,4.0,8.0,21.0,-13.0,8.0,"21,340"
32,GR,Lille,6.0,1.0,3.0,2.0,6.0,6.0,0.0,6.0,"16,215"
33,GR,Shakhtar,6.0,1.0,2.0,3.0,6.0,8.0,-2.0,5.0,"46,719"
34,GR,Dortmund,6.0,1.0,1.0,4.0,6.0,12.0,-6.0,4.0,"65,590"
35,GR,Villarreal,8.0,0.0,1.0,7.0,5.0,15.0,-10.0,1.0,"17,959"
36,GR,Oțelul Galați,6.0,0.0,0.0,6.0,3.0,11.0,-8.0,0.0,"13,533"
