id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance
0,W,Bayern Munich,13.0,10.0,2.0,1.0,31.0,11.0,20.0,32.0,"73,667"
2,F,Dortmund,13.0,5.0,6.0,2.0,24.0,14.0,10.0,21.0,"71,239"
4,SF,Real Madrid,12.0,5.0,4.0,3.0,26.0,18.0,8.0,19.0,"71,313"
5,SF,Barcelona,12.0,4.0,5.0,3.0,18.0,17.0,1.0,17.0,"81,477"
7,QF,Paris S-G,10.0,6.0,3.0,1.0,20.0,8.0,12.0,21.0,"43,868"
8,QF,Málaga,12.0,4.0,6.0,2.0,18.0,9.0,9.0,18.0,"25,824"
9,QF,Juventus,10.0,4.0,5.0,1.0,17.0,8.0,9.0,17.0,"36,047"
10,QF,Galatasaray,10.0,4.0,3.0,3.0,14.0,14.0,0.0,15.0,"47,397"
12,R16,Celtic,12.0,6.0,2.0,4.0,17.0,14.0,3.0,20.0,"58,211"
13,R16,Porto,8.0,5.0,1.0,2.0,11.0,6.0,5.0,16.0,"33,909"
14,R16,Valencia,8.0,4.0,2.0,2.0,14.0,8.0,6.0,14.0,"30,679"
15,R16,Schalke 04,8.0,3.0,5.0,0.0,13.0,10.0,3.0,14.0,"52,635"
16,R16,Manchester Utd,8.0,4.0,2.0,2.0,11.0,9.0,2.0,14.0,"73,582"
17,R16,Arsenal,8.0,4.0,1.0,3.0,13.0,11.0,2.0,13.0,"59,954"
18,R16,Shakhtar,8.0,3.0,2.0,3.0,14.0,13.0,1.0,11.0,"49,101"
19,R16,Milan,8.0,3.0,2.0,3.0,9.0,10.0,-1.0,11.0,"40,981"
21,GR,CFR Cluj,10.0,6.0,2.0,2.0,15.0,9.0,6.0,20.0,"15,708"
22,GR,BATE Borisov,12.0,5.0,3.0,4.0,18.0,19.0,-1.0,18.0,"25,542"
23,GR,Dynamo Kyiv,10.0,4.0,3.0,3.0,13.0,14.0,-1.0,15.0,"39,634"
24,GR,Dinamo Zagreb,12.0,3.0,4.0,5.0,13.0,18.0,-5.0,13.0,"5,890"
25,GR,Anderlecht,10.0,3.0,3.0,4.0,18.0,11.0,7.0,12.0,"17,317"
26,GR,Chelsea,6.0,3.0,1.0,2.0,16.0,10.0,6.0,10.0,"40,689"
27,GR,Olympiacos,6.0,3.0,0.0,3.0,9.0,9.0,0.0,9.0,"29,089"
28,GR,Benfica,6.0,2.0,2.0,2.0,5.0,5.0,0.0,8.0,"49,120"
29,GR,Zenit,6.0,2.0,1.0,3.0,6.0,9.0,-3.0,7.0,"19,361"
30,GR,Spartak Moscow,8.0,2.0,1.0,5.0,10.0,16.0,-6.0,7.0,"50,637"
31,GR,Braga,8.0,1.0,2.0,5.0,9.0,15.0,-6.0,5.0,"11,758"
32,GR,Ajax,6.0,1.0,1.0,4.0,8.0,16.0,-8.0,4.0,"47,578"
33,GR,Lille,8.0,1.0,1.0,6.0,6.0,14.0,-8.0,4.0,"41,139"
34,GR,Manchester City,6.0,0.0,3.0,3.0,7.0,11.0,-4.0,3.0,"43,206"
35,GR,Montpellier,6.0,0.0,2.0,4.0,6.0,12.0,-6.0,2.0,"24,499"
36,GR,Nordsjælland,6.0,0.0,1.0,5.0,4.0,22.0,-18.0,1.0,"21,526"
